Run,Assay Type,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Library Name,AvgSpotLen,Bases,Cultivar,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Collection_Date,Lat_Lon,Isolation_source,estimated_size,ploidy,BIOME,feature,Host,isol_growth_condt,material,nominal_length (run),num_replicons,propagation,ref_biomaterial,Run_ID (run),tissue,Age,Isolate,Ecotype,collected_by,BIOMATERIAL_PROVIDER,Development_stage,indexi7 (run),Plate_pos (run),PlateID (run),pool_name (run),RNAEXTLOC,RNAEXTMTHD,dev_stage,Genotype,treatment,Developmental_stage,sample_name,common_name,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,Broker_name,organism_part,GEO_Accession (exp),source_name,replicate,Experiment,filename_1,filename_2,phenotype,strain,stress,sequencing_date,sequencing_provider,platform,growth_protocol,sample_title1,sample_title2,sample_type,sorghum_genotype,time_point,population,rip_antibody,height_or_length,irrigation_status,quality (run),forward_read_length (run),MD5_checksum1 (run),MD5_checksum2 (run),reverse_read_length (run),Cell_type,plant_strain,protocol,symbiotic_status,organism,sample_title,sex,temp,fungal_strain,plot,watering_regime,sub_species,Cell_line,CULTURE_COLLECTION,Description,disease,disease_stage,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),isolation_and_growth_condition,number_of_replicons,plant_developmental_stage,plant_growth_medium,plant_structure,sample_health_state,specimen_voucher,Accession,growth_condition,LIBRARY_STRAND (exp),stimulus,subspecies,tissue_biomaterial_provider
ERR2096926,RNA-Seq,PRJEB22168,SAMEA104212577,527300157,CSHL Genome center,public,"sra,fastq","ena,s3,ncbi,gs","s3.us-east-1,ena,gs.US,ncbi.public",ERX2154272,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212577,ERP024508,group 13_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 13,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212577,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 13,ArrayExpress,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096930,RNA-Seq,PRJEB22168,SAMEA104212578,498733878,CSHL Genome center,public,"fastq,sra","gs,ncbi,ena,s3","gs.US,ena,s3.us-east-1,ncbi.public",ERX2154273,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212578,ERP024508,group 14_p,250,1201834000,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 14,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212578,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 14,ArrayExpress,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096931,RNA-Seq,PRJEB22168,SAMEA104212578,511535749,CSHL Genome center,public,"sra,fastq","ena,gs,s3","gs.US,ena,s3.us-east-1",ERX2154273,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212578,ERP024508,group 14_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 14,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212578,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 14,ArrayExpress,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096932,RNA-Seq,PRJEB22168,SAMEA104212578,510704567,CSHL Genome center,public,"sra,fastq","gs,ena,s3","s3.us-east-1,gs.US,ena",ERX2154273,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212578,ERP024508,group 14_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 14,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212578,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 14,ArrayExpress,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096933,RNA-Seq,PRJEB22168,SAMEA104212579,628579434,CSHL Genome center,public,"sra,fastq","ncbi,ena,gs,s3","gs.US,ena,ncbi.public,s3.us-east-1",ERX2154274,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212579,ERP024508,group 15_p,250,1521607000,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 15,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212579,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 15,ArrayExpress,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096937,RNA-Seq,PRJEB22168,SAMEA104212579,644623172,CSHL Genome center,public,"sra,fastq","gs,ena,s3","ena,gs.US,s3.us-east-1",ERX2154274,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212579,ERP024508,group 15_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 15,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212579,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 15,ArrayExpress,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096938,RNA-Seq,PRJEB22168,SAMEA104212580,539370539,CSHL Genome center,public,"sra,fastq","s3,gs,ena","ena,gs.US,s3.us-east-1",ERX2154275,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212580,ERP024508,group 16_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,20 days after pollination,E-MTAB-5956:group 16,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212580,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 16,ArrayExpress,pericarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096939,RNA-Seq,PRJEB22168,SAMEA104212580,524745387,CSHL Genome center,public,"sra,fastq","ncbi,ena,gs,s3","ncbi.public,ena,s3.us-east-1,gs.US",ERX2154275,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212580,ERP024508,group 16_p,250,1258062000,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,20 days after pollination,E-MTAB-5956:group 16,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212580,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 16,ArrayExpress,pericarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096941,RNA-Seq,PRJEB22168,SAMEA104212580,541431532,CSHL Genome center,public,"sra,fastq","ena,s3,gs","ena,s3.us-east-1,gs.US",ERX2154275,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212580,ERP024508,group 16_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,20 days after pollination,E-MTAB-5956:group 16,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212580,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 16,ArrayExpress,pericarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096945,RNA-Seq,PRJEB22168,SAMEA104212581,796075395,CSHL Genome center,public,"fastq,sra","ena,s3,gs","s3.us-east-1,gs.US,ena",ERX2154276,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212581,ERP024508,group 17_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,20 days after pollination,E-MTAB-5956:group 17,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212581,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 17,ArrayExpress,pericarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096948,RNA-Seq,PRJEB22168,SAMEA104212582,550750316,CSHL Genome center,public,"sra,fastq","ena,gs,s3,ncbi","s3.us-east-1,ncbi.public,ena,gs.US",ERX2154277,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212582,ERP024508,group 18_p,250,1321413250,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,20 days after pollination,E-MTAB-5956:group 18,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212582,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 18,ArrayExpress,pericarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096950,RNA-Seq,PRJEB22168,SAMEA104212582,564345913,CSHL Genome center,public,"fastq,sra","ena,s3,gs","s3.us-east-1,ena,gs.US",ERX2154277,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212582,ERP024508,group 18_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,20 days after pollination,E-MTAB-5956:group 18,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212582,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 18,ArrayExpress,pericarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096954,RNA-Seq,PRJEB22168,SAMEA104212583,903975691,CSHL Genome center,public,"sra,fastq","ncbi,ena,gs,s3","s3.us-east-1,ena,ncbi.public,gs.US",ERX2154278,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212583,ERP024508,group 19_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,inflorescence size 1 to 2 centimeter,E-MTAB-5956:group 19,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212583,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 19,ArrayExpress,inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096956,RNA-Seq,PRJEB22168,SAMEA104212583,912906559,CSHL Genome center,public,"sra,fastq","s3,ena,gs","s3.us-east-1,gs.US,ena",ERX2154278,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212583,ERP024508,group 19_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,inflorescence size 1 to 2 centimeter,E-MTAB-5956:group 19,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212583,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 19,ArrayExpress,inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096959,RNA-Seq,PRJEB22168,SAMEA104212584,591257479,CSHL Genome center,public,"sra,fastq","ncbi,s3,gs,ena","ena,ncbi.public,s3.us-east-1,gs.US",ERX2154279,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212584,ERP024508,group 2_p,250,1436514500,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 2,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212584,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 2,ArrayExpress,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096962,RNA-Seq,PRJEB22168,SAMEA104212584,609162585,CSHL Genome center,public,"fastq,sra","s3,ena,gs","s3.us-east-1,gs.US,ena",ERX2154279,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212584,ERP024508,group 2_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,wild type genotype,,seedling developmental stage,E-MTAB-5956:group 2,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212584,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 2,ArrayExpress,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR2096963,RNA-Seq,PRJEB22168,SAMEA104212585,1503231691,CSHL Genome center,public,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",ERX2154280,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Sorghum bicolor,ILLUMINA,2018-04-08T00:00:00Z,SAMEA104212585,ERP024508,group 20_p,,,BTx623,,,,,,,,,,,,,,,,,,,,,not available,,,,,,,,,,,,,wild type genotype,,inflorescence size 1 to 2 centimeter,E-MTAB-5956:group 20,sorghum,2018-04-05,2018-04-05,2018-11-16,2017-08-14,SAMEA104212585,CSHL,Cold Spring Harbor Laboratory,2018-04-05T17:02:53Z,2017-08-14T16:51:24Z,public,E-MTAB-5956:group 20,ArrayExpress,inflorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
